pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC55989_1330	Escherichia coli 55989	built	2756	1953	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC55989_1330\iEC55989_1330_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC55989_1330\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC55989_1330	Escherichia coli 55989	built	2756	1953	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC55989_1330\iEC55989_1330_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC55989_1330\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC55989_1330	Escherichia coli 55989	built	2756	1953	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC55989_1330\iEC55989_1330_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC55989_1330\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC55989_1330	Escherichia coli 55989	built	2756	1953	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC55989_1330\iEC55989_1330_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC55989_1330\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECABU_c1320	Escherichia coli ABU 83972	built	2731	1942	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECABU_c1320\iECABU_c1320_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECABU_c1320\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECABU_c1320	Escherichia coli ABU 83972	built	2731	1942	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECABU_c1320\iECABU_c1320_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECABU_c1320\summary.json
map00030	rn00030	Pentose phosphate pathway	iECABU_c1320	Escherichia coli ABU 83972	built	2731	1942	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECABU_c1320\iECABU_c1320_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECABU_c1320\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECABU_c1320	Escherichia coli ABU 83972	built	2731	1942	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECABU_c1320\iECABU_c1320_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECABU_c1320\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECB_1328	Escherichia coli B str. REL606	built	2748	1951	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECB_1328\iECB_1328_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECB_1328\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECB_1328	Escherichia coli B str. REL606	built	2748	1951	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECB_1328\iECB_1328_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECB_1328\summary.json
map00030	rn00030	Pentose phosphate pathway	iECB_1328	Escherichia coli B str. REL606	built	2748	1951	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECB_1328\iECB_1328_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECB_1328\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECB_1328	Escherichia coli B str. REL606	built	2748	1951	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECB_1328\iECB_1328_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECB_1328\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	built	2748	1952	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECBD_1354\iECBD_1354_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECBD_1354\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	built	2748	1952	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECBD_1354\iECBD_1354_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECBD_1354\summary.json
map00030	rn00030	Pentose phosphate pathway	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	built	2748	1952	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECBD_1354\iECBD_1354_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECBD_1354\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	built	2748	1952	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECBD_1354\iECBD_1354_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECBD_1354\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECD_1391	Escherichia coli BL21(DE3)	built	2741	1943	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECD_1391\iECD_1391_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECD_1391\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECD_1391	Escherichia coli BL21(DE3)	built	2741	1943	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECD_1391\iECD_1391_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECD_1391\summary.json
map00030	rn00030	Pentose phosphate pathway	iECD_1391	Escherichia coli BL21(DE3)	built	2741	1943	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECD_1391\iECD_1391_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECD_1391\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECD_1391	Escherichia coli BL21(DE3)	built	2741	1943	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECD_1391\iECD_1391_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECD_1391\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	built	2742	1947	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECDH10B_1368\iECDH10B_1368_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECDH10B_1368\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	built	2742	1947	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECDH10B_1368\iECDH10B_1368_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECDH10B_1368\summary.json
map00030	rn00030	Pentose phosphate pathway	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	built	2742	1947	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECDH10B_1368\iECDH10B_1368_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECDH10B_1368\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	built	2742	1947	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECDH10B_1368\iECDH10B_1368_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECDH10B_1368\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcDH1_1363	Escherichia coli DH1	built	2750	1949	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcDH1_1363\iEcDH1_1363_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcDH1_1363\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEcDH1_1363	Escherichia coli DH1	built	2750	1949	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcDH1_1363\iEcDH1_1363_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcDH1_1363\summary.json
map00030	rn00030	Pentose phosphate pathway	iEcDH1_1363	Escherichia coli DH1	built	2750	1949	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcDH1_1363\iEcDH1_1363_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcDH1_1363\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEcDH1_1363	Escherichia coli DH1	built	2750	1949	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcDH1_1363\iEcDH1_1363_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcDH1_1363\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH1ME8569_1439	Escherichia coli DH1	built	2755	1950	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECDH1ME8569_1439\iECDH1ME8569_1439_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECDH1ME8569_1439\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECDH1ME8569_1439	Escherichia coli DH1	built	2755	1950	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECDH1ME8569_1439\iECDH1ME8569_1439_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECDH1ME8569_1439\summary.json
map00030	rn00030	Pentose phosphate pathway	iECDH1ME8569_1439	Escherichia coli DH1	built	2755	1950	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECDH1ME8569_1439\iECDH1ME8569_1439_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECDH1ME8569_1439\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECDH1ME8569_1439	Escherichia coli DH1	built	2755	1950	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECDH1ME8569_1439\iECDH1ME8569_1439_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECDH1ME8569_1439\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	built	2763	1972	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcE24377_1341\iEcE24377_1341_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcE24377_1341\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	built	2763	1972	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcE24377_1341\iEcE24377_1341_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcE24377_1341\summary.json
map00030	rn00030	Pentose phosphate pathway	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	built	2763	1972	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcE24377_1341\iEcE24377_1341_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcE24377_1341\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	built	2763	1972	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcE24377_1341\iEcE24377_1341_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcE24377_1341\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECED1_1282	Escherichia coli ED1a	built	2706	1929	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECED1_1282\iECED1_1282_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECED1_1282\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECED1_1282	Escherichia coli ED1a	built	2706	1929	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECED1_1282\iECED1_1282_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECED1_1282\summary.json
map00030	rn00030	Pentose phosphate pathway	iECED1_1282	Escherichia coli ED1a	built	2706	1929	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECED1_1282\iECED1_1282_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECED1_1282\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECED1_1282	Escherichia coli ED1a	built	2706	1929	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECED1_1282\iECED1_1282_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECED1_1282\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	built	2694	1918	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECH74115_1262\iECH74115_1262_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECH74115_1262\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	built	2694	1918	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECH74115_1262\iECH74115_1262_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECH74115_1262\summary.json
map00030	rn00030	Pentose phosphate pathway	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	built	2694	1918	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECH74115_1262\iECH74115_1262_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECH74115_1262\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	built	2694	1918	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECH74115_1262\iECH74115_1262_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECH74115_1262\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcHS_1320	Escherichia coli HS	built	2753	1963	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcHS_1320\iEcHS_1320_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcHS_1320\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEcHS_1320	Escherichia coli HS	built	2753	1963	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcHS_1320\iEcHS_1320_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcHS_1320\summary.json
map00030	rn00030	Pentose phosphate pathway	iEcHS_1320	Escherichia coli HS	built	2753	1963	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcHS_1320\iEcHS_1320_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcHS_1320\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEcHS_1320	Escherichia coli HS	built	2753	1963	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcHS_1320\iEcHS_1320_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcHS_1320\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI1_1343	Escherichia coli IAI1	built	2765	1968	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI1_1343\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECIAI1_1343	Escherichia coli IAI1	built	2765	1968	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI1_1343\summary.json
map00030	rn00030	Pentose phosphate pathway	iECIAI1_1343	Escherichia coli IAI1	built	2765	1968	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI1_1343\iECIAI1_1343_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI1_1343\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECIAI1_1343	Escherichia coli IAI1	built	2765	1968	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI1_1343\iECIAI1_1343_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI1_1343\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI39_1322	Escherichia coli IAI39	built	2721	1953	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI39_1322\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECIAI39_1322	Escherichia coli IAI39	built	2721	1953	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI39_1322\summary.json
map00030	rn00030	Pentose phosphate pathway	iECIAI39_1322	Escherichia coli IAI39	built	2721	1953	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI39_1322\iECIAI39_1322_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI39_1322\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECIAI39_1322	Escherichia coli IAI39	built	2721	1953	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI39_1322\iECIAI39_1322_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI39_1322\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECNA114_1301	Escherichia coli NA114	built	2718	1927	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECNA114_1301\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECNA114_1301	Escherichia coli NA114	built	2718	1927	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECNA114_1301\iECNA114_1301_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECNA114_1301\summary.json
map00030	rn00030	Pentose phosphate pathway	iECNA114_1301	Escherichia coli NA114	built	2718	1927	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECNA114_1301\iECNA114_1301_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECNA114_1301\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECNA114_1301	Escherichia coli NA114	built	2718	1927	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECNA114_1301\iECNA114_1301_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECNA114_1301\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO103_1326	Escherichia coli O103:H2 str. 12009	built	2758	1958	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO103_1326\iECO103_1326_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO103_1326\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO103_1326	Escherichia coli O103:H2 str. 12009	built	2758	1958	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO103_1326\iECO103_1326_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO103_1326\summary.json
map00030	rn00030	Pentose phosphate pathway	iECO103_1326	Escherichia coli O103:H2 str. 12009	built	2758	1958	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO103_1326\iECO103_1326_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO103_1326\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECO103_1326	Escherichia coli O103:H2 str. 12009	built	2758	1958	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO103_1326\iECO103_1326_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO103_1326\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO111_1330	Escherichia coli O111:H- str. 11128	built	2760	1959	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO111_1330\iECO111_1330_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO111_1330\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO111_1330	Escherichia coli O111:H- str. 11128	built	2760	1959	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO111_1330\iECO111_1330_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO111_1330\summary.json
map00030	rn00030	Pentose phosphate pathway	iECO111_1330	Escherichia coli O111:H- str. 11128	built	2760	1959	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO111_1330\iECO111_1330_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO111_1330\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECO111_1330	Escherichia coli O111:H- str. 11128	built	2760	1959	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO111_1330\iECO111_1330_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO111_1330\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECO26_1355	Escherichia coli O26:H11 str. 11368	built	2780	1965	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO26_1355\iECO26_1355_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECO26_1355\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECO26_1355	Escherichia coli O26:H11 str. 11368	built	2780	1965	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO26_1355\iECO26_1355_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECO26_1355\summary.json
map00030	rn00030	Pentose phosphate pathway	iECO26_1355	Escherichia coli O26:H11 str. 11368	built	2780	1965	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO26_1355\iECO26_1355_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECO26_1355\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECO26_1355	Escherichia coli O26:H11 str. 11368	built	2780	1965	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO26_1355\iECO26_1355_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECO26_1355\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECOK1_1307	Escherichia coli IHE3034	built	2729	1941	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iECOK1_1307\iECOK1_1307_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECOK1_1307\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iECOK1_1307	Escherichia coli IHE3034	built	2729	1941	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECOK1_1307\iECOK1_1307_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECOK1_1307\summary.json
map00030	rn00030	Pentose phosphate pathway	iECOK1_1307	Escherichia coli IHE3034	built	2729	1941	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iECOK1_1307\iECOK1_1307_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECOK1_1307\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iECOK1_1307	Escherichia coli IHE3034	built	2729	1941	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iECOK1_1307\iECOK1_1307_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECOK1_1307\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEcolC_1368	Escherichia coli ATCC 8739	built	2768	1969	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcolC_1368\iEcolC_1368_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEcolC_1368\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEcolC_1368	Escherichia coli ATCC 8739	built	2768	1969	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcolC_1368\iEcolC_1368_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEcolC_1368\summary.json
map00030	rn00030	Pentose phosphate pathway	iEcolC_1368	Escherichia coli ATCC 8739	built	2768	1969	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcolC_1368\iEcolC_1368_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEcolC_1368\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEcolC_1368	Escherichia coli ATCC 8739	built	2768	1969	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcolC_1368\iEcolC_1368_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcolC_1368\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECP_1309	Escherichia coli 536	built	2739	1941	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iECP_1309\iECP_1309_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECP_1309\summary.json
